case_id,track,qgrid,job_id,job_name,sku,np,nk,kgrid,qmesh,image,bundle,lambda_ref,omega_log_ref_K,material,condition,note
lam042,heavy-soc,2,22840199,dfpt-crosscat-lam042-heavy-zrrhsi-q2-mpiifort-np8-20260610,c8_m64_cpu,8,1,16x16x16,2x2x2,registry.dp.tech/dptech/quantum-espresso:7.1,/tmp/dfpt_lbg_bundles_crosscat3_20260610/lam042_q2,0.84,213.35,ZrRhSi,"TiNiSi-type orthorhombic Pnma ZrRhSi","heavy-SOC family scalar smoke from high-confidence LKM-aligned structure"
lam151,intermetallic,2,22840198,dfpt-crosscat-lam151-cac6-q2-mpiifort-np8-20260610,c8_m64_cpu,8,1,20x20x20,2x2x2,registry.dp.tech/dptech/quantum-espresso:7.1,/tmp/dfpt_lbg_bundles_crosscat3_20260610/lam151_q2,0.83,286.6,CaC6,"bulk calcium graphite intercalation compound","structure-ready intermetallic smoke; q2 preflight before any denser scaling"
lam177,intermetallic,2,22840201,dfpt-crosscat-lam177-naalsi-q2-mpiifort-np8-20260610,c8_m64_cpu,8,1,20x20x20,2x2x2,registry.dp.tech/dptech/quantum-espresso:7.1,/tmp/dfpt_lbg_bundles_crosscat3_20260610/lam177_q2,0.68,216.27,NaAlSi,"anti-PbFCl-type ternary silicide NaAlSi","structure-ready layered intermetallic smoke; q2 preflight"
