q_bohr^-1 w_Ry eps g_Ry
6.638754855735963523e-02 -2.124340632966690734e+01 1.389178105498190803e+02 -1.529206819887831414e-01
6.937559067028617465e-02 -1.943989883042847922e+01 1.272121302943970278e+02 -1.528148202961482627e-01
7.236363278321270021e-02 -1.785516099620342345e+01 1.169263616749128545e+02 -1.527043238191712060e-01
7.535167489613923963e-02 -1.645519001097652279e+01 1.078398108188783908e+02 -1.525891958268892346e-01
7.833971700906576519e-02 -1.521234147352253707e+01 9.977305288363827174e+01 -1.524694397320300876e-01
8.132775912199229074e-02 -1.410395418004125823e+01 9.257900626464451932e+01 -1.523450590917337366e-01
8.431580123491883016e-02 -1.311130980867442020e+01 8.613618047061540040e+01 -1.522160576083035066e-01
8.730384334784535572e-02 -1.221883743942460399e+01 8.034351309279857389e+01 -1.520824391299838985e-01
9.029188546077189514e-02 -1.141349920411648000e+01 7.511638239132125250e+01 -1.519442076517673879e-01
9.327992757369842070e-02 -1.068431142006384604e+01 7.038349923295811550e+01 -1.518013673162297017e-01
9.626796968662496012e-02 -1.002196810610752209e+01 6.608446353746548141e+01 -1.516539224143922115e-01
9.925601179955148567e-02 -9.418542607643955122e+00 6.216782768710550044e+01 -1.515018773866131929e-01
1.022440539124780251e-01 -8.867249344713584946e+00 5.858955016241662861e+01 -1.513452368235052581e-01
1.052320960254045507e-01 -8.362252225831628749e+00 5.531175206006464862e+01 -1.511840054668818767e-01
1.082201381383310762e-01 -7.898509566475104826e+00 5.230171054266341457e+01 -1.510181882107307638e-01
1.112081802512576156e-01 -7.471647774103403528e+00 4.953103899659806331e+01 -1.508477901022140522e-01
1.141962223641841412e-01 -7.077857859192716816e+00 4.697501534115184540e+01 -1.506728163426963862e-01
1.171842644771106806e-01 -6.713810177075486330e+00 4.461202866392292066e+01 -1.504932722887996344e-01
1.201723065900372062e-01 -6.376583820497062405e+00 4.242312094611850881e+01 -1.503091634534843568e-01
1.231603487029637456e-01 -6.063607854737981917e+00 4.039160565153383686e+01 -1.501204955071579750e-01
1.261483908158902711e-01 -5.772612178483695011e+00 3.850274879104899384e+01 -1.499272742788092805e-01
1.291364329288167967e-01 -5.501586249768708470e+00 3.674350103506746734e+01 -1.497295057571697841e-01
1.321244750417433222e-01 -5.248744270514836607e+00 3.510227174519422988e+01 -1.495271960919005161e-01
1.351125171546698478e-01 -5.012495699940266114e+00 3.356873759273054958e+01 -1.493203515948047788e-01
1.381005592675963733e-01 -4.791420184661032700e+00 3.213367984352912288e+01 -1.491089787410668499e-01
1.410886013805229267e-01 -4.584246165281946617e+00 3.078884550495267192e+01 -1.488930841705164987e-01
1.440766434934494522e-01 -4.389832555964334304e+00 2.952682841786229417e+01 -1.486726746889177886e-01
1.470646856063759778e-01 -4.207153002666323971e+00 2.834096708537375875e+01 -1.484477572692837477e-01
1.500527277193025033e-01 -4.035282313435899937e+00 2.722525659923294583e+01 -1.482183390532154366e-01
