q_bohr^-1 w_Ry eps g_Ry
4.636185683544981062e-01 -8.376486825713739037e+00 8.247414782461229166e+00 -1.015650000231222982e+00
4.715820955017425153e-01 -8.098279908416841977e+00 7.993333594920034813e+00 -1.013129229782615770e+00
4.795456226489869800e-01 -7.833813613970565193e+00 7.751810533254050561e+00 -1.010578571336945730e+00
4.875091497962314446e-01 -7.582197432987672236e+00 7.522031875078136309e+00 -1.007998577898729042e+00
4.954726769434759093e-01 -7.342611840219561259e+00 7.303248761347134632e+00 -1.005389803929555015e+00
5.034362040907204294e-01 -7.114301611323383234e+00 7.094771089404394715e+00 -1.002752805083190868e+00
5.113997312379648941e-01 -6.896569862379236859e+00 6.895962066459156325e+00 -1.000088137944237898e+00
5.193632583852093587e-01 -6.688772724191331953e+00 6.706233343111819956e+00 -9.973963597705077788e-01
5.273267855324538234e-01 -6.490314575271110442e+00 6.525040657387187082e+00 -9.946780282392934103e-01
5.352903126796982880e-01 -6.300643767512443816e+00 6.351879928976034151e+00 -9.919337011976783192e-01
5.432538398269427526e-01 -6.119248787210326945e+00 6.186283751281353105e+00 -9.891639364170546900e-01
5.512173669741872173e-01 -5.945654801476241147e+00 6.027818235629377241e+00 -9.863692913519717109e-01
5.591808941214316819e-01 -5.779420546458807095e+00 5.876080167812715693e+00 -9.835503229034587847e-01
5.671444212686761466e-01 -5.620135519247825506e+00 5.730694442130913835e+00 -9.807075871869417316e-01
5.751079484159206112e-01 -5.467417440057125155e+00 5.591311742404232454e+00 -9.778416393048702249e-01
5.830714755631650759e-01 -5.320909955359342192e+00 5.457606443162585030e+00 -9.749530331241639258e-01
5.910350027104095405e-01 -5.180280556177632612e+00 5.329274707438879766e+00 -9.720423210585723561e-01
5.989985298576540051e-01 -5.045218688804938623e+00 5.206032760397290460e+00 -9.691100538560423194e-01
6.069620570048984698e-01 -4.915434037887505880e+00 5.087615320463158675e+00 -9.661567803911759178e-01
6.149255841521429344e-01 -4.790654964132342819e+00 4.973774171743954753e+00 -9.631830474628475525e-01
6.228891112993873991e-01 -4.670627080926411878e+00 4.864276863383892646e+00 -9.601893995970521845e-01
6.308526384466318637e-01 -4.555111955928885514e+00 4.758905523115447345e+00 -9.571763788550382568e-01
6.388161655938763284e-01 -4.443885925251813696e+00 4.657455773691014045e+00 -9.541445246467800123e-01
6.467796927411207930e-01 -4.336739009208329776e+00 4.559735742124146007e+00 -9.510943735498290641e-01
6.547432198883652577e-01 -4.233473919806460373e+00 4.465565152765385903e+00 -9.480264591335771929e-01
6.627067470356097223e-01 -4.133905151222418084e+00 4.374774496202395113e+00 -9.449413117889692293e-01
6.706702741828540759e-01 -4.037858145418362632e+00 4.287204266825028753e+00 -9.418394585636751248e-01
6.786338013300985406e-01 -3.945168525892179368e+00 4.202704262647531053e+00 -9.387214230027418616e-01
6.865973284773430052e-01 -3.855681393274558832e+00 4.121132941645075931e+00 -9.355877249947306407e-01
6.945608556245874698e-01 -3.769250677133342275e+00 4.042356829450920230e+00 -9.324388806233431248e-01
7.025243827718319345e-01 -3.685738538917244789e+00 3.966249973783310789e+00 -9.292754020245241886e-01
7.104879099190763991e-01 -3.605014821479381126e+00 3.892693441435706614e+00 -9.260977972490369581e-01
7.184514370663208638e-01 -3.526956541073317464e+00 3.821574854077198768e+00 -9.229065701304906000e-01
7.264149642135653284e-01 -3.451447418117356225e+00 3.752787959478273372e+00 -9.197022201587934376e-01
7.343784913608097931e-01 -3.378377443382312606e+00 3.686232235105556754e+00 -9.164852423590102992e-01
