q_bohr^-1 w_Ry eps g_Ry
1.688965105095262265e-01 -1.505073856162226331e+00 1.706896348216746517e+01 -8.817605461132006772e-02
1.713018357998881414e-01 -1.457073091120781649e+00 1.658765712566715322e+01 -8.784080115004055944e-02
1.737071610902500562e-01 -1.411057333051417340e+00 1.612622604727985731e+01 -8.750077847813822474e-02
1.761124863806119711e-01 -1.366918945970066357e+00 1.568359217033090935e+01 -8.715598640443515677e-02
1.785178116709739138e-01 -1.324557495940747343e+00 1.525874955532107613e+01 -8.680642480817464535e-02
1.809231369613358287e-01 -1.283879180432183631e+00 1.485075868427229118e+01 -8.645209364231855320e-02
1.833284622516977436e-01 -1.244796309735775042e+00 1.445874126652816472e+01 -8.609299293690700350e-02
1.857337875420596585e-01 -1.207226835086615990e+00 1.408187551233965351e+01 -8.572912280248098926e-02
1.881391128324216011e-01 -1.171093918741772599e+00 1.371939182670126733e+01 -8.536048343356879287e-02
1.905444381227835160e-01 -1.136325541805775163e+00 1.337056888126936727e+01 -8.498707511223675681e-02
1.929497634131454309e-01 -1.102854146062602680e+00 1.303473002689500326e+01 -8.460889821170412828e-02
1.953550887035073458e-01 -1.070616306485410174e+00 1.271124001342973919e+01 -8.422595320002435049e-02
1.977604139938692884e-01 -1.039552431457339443e+00 1.239950198709024320e+01 -8.383824064383156582e-02
2.001657392842312033e-01 -1.009606488055676987e+00 1.209895473886126815e+01 -8.344576121215405151e-02
2.025710645745931182e-01 -9.807257500328472322e-01 1.180907018023377475e+01 -8.304851568029486542e-02
2.049763898649550331e-01 -9.528605663761852140e-01 1.152935102506340215e+01 -8.264650493378010443e-02
2.073817151553169480e-01 -9.259641485482290602e-01 1.125932865853596709e+01 -8.223972997237570526e-02
2.097870404456788906e-01 -8.999923747040079469e-01 1.099856117617727769e+01 -8.182819191417312066e-02
2.121923657360408055e-01 -8.749036093546059822e-01 1.074663157757533938e+01 -8.141189199974437074e-02
2.145976910264027204e-01 -8.506585370998098750e-01 1.050314610102069324e+01 -8.099083159636739915e-02
2.170030163167646353e-01 -8.272200091892721874e-01 1.026773268663924554e+01 -8.056501220232209493e-02
