q_bohr^-1 w_Ry eps g_Ry
4.385067408610163753e-01 -3.477053644637932095e+00 6.651590046672980705e+00 -5.227402200436418456e-01
4.442600829271221574e-01 -3.386823485411622592e+00 6.494019306566620742e+00 -5.215296298837509559e-01
4.500134249932279951e-01 -3.300024998054897463e+00 6.342461166795863470e+00 -5.203066934538332911e-01
4.557667670593337772e-01 -3.216485931628791928e+00 6.196614058079949139e+00 -5.190715286576094156e-01
4.615201091254396148e-01 -3.136044704918586223e+00 6.056195090362153977e+00 -5.178242540286220885e-01
4.672734511915453970e-01 -3.058549623103076431e+00 5.920938681444413376e+00 -5.165649887049570399e-01
4.730267932576512346e-01 -2.983858160706483353e+00 5.790595301662121663e+00 -5.152938524040874269e-01
4.787801353237570168e-01 -2.911836304499828998e+00 5.664930323511686794e+00 -5.140109653978556237e-01
4.845334773898628544e-01 -2.842357950691285051e+00 5.543722966321094070e+00 -5.127164484875983419e-01
4.902868194559686921e-01 -2.775304351339288988e+00 5.426765327094110525e+00 -5.114104229794272927e-01
4.960401615220744742e-01 -2.710563605447930069e+00 5.313861489579180919e+00 -5.100930106596712754e-01
5.017935035881803119e-01 -2.648030190669931283e+00 5.204826704429474482e+00 -5.087643337704927937e-01
5.075468456542860940e-01 -2.587604531955870701e+00 5.099486634044228417e+00 -5.074245149856839721e-01
5.133001877203918761e-01 -2.529192603855508370e+00 4.997676656324395950e+00 -5.060736773866508775e-01
5.190535297864976583e-01 -2.472705563503881709e+00 4.899241222147687758e+00 -5.047119444385957943e-01
5.248068718526034404e-01 -2.418059411615960830e+00 4.804033261877834526e+00 -5.033394399669024466e-01
5.305602139187093336e-01 -2.365174679073411834e+00 4.711913636677618200e+00 -5.019562881337320537e-01
5.363135559848151157e-01 -2.313976136919047466e+00 4.622750630801437666e+00 -5.005626134148356554e-01
5.420668980509208978e-01 -2.264392527782085107e+00 4.536419481406507970e+00 -4.991585405765903150e-01
5.478202401170266800e-01 -2.216356316943196347e+00 4.452801942747221631e+00 -4.977441946532620287e-01
5.535735821831325731e-01 -2.169803461414985701e+00 4.371785881908879290e+00 -4.963197009245043922e-01
5.593269242492383553e-01 -2.124673195563104855e+00 4.293264903498943852e+00 -4.948851848930936881e-01
5.650802663153441374e-01 -2.080907831927675478e+00 4.217138000949290699e+00 -4.934407722629083337e-01
5.708336083814500306e-01 -2.038452576025653329e+00 4.143309232294751787e+00 -4.919865889171555207e-01
5.765869504475558127e-01 -1.997255354023711460e+00 4.071687418483914911e+00 -4.905227608968533715e-01
5.823402925136615949e-01 -1.957266652269448182e+00 4.002185862450213349e+00 -4.890494143795642845e-01
5.880936345797673770e-01 -1.918439367757446945e+00 3.934722087326508522e+00 -4.875666756583950656e-01
5.938469766458732702e-01 -1.880728668686801885e+00 3.869217592326717359e+00 -4.860746711212597937e-01
5.996003187119790523e-01 -1.844091864339225673e+00 3.805597624944880408e+00 -4.845735272304136920e-01
6.053536607780848344e-01 -1.808488283572464050e+00 3.743790968236964556e+00 -4.830633705022590596e-01
6.111070028441906166e-01 -1.773879161283236083e+00 3.683729742054817624e+00 -4.815443274874313673e-01
6.168603449102965097e-01 -1.740227532247847320e+00 3.625349217196143226e+00 -4.800165247511645195e-01
6.226136869764022919e-01 -1.707498131797636987e+00 3.568587641520144516e+00 -4.784800888539417207e-01
6.283670290425080740e-01 -1.675657302830922735e+00 3.513386077156396503e+00 -4.769351463324341678e-01
6.341203711086138561e-01 -1.644672908703637138e+00 3.459688248005480471e+00 -4.753818236807306197e-01
6.398737131747197493e-01 -1.614514251577703563e+00 3.407440396794429560e+00 -4.738202473318587349e-01
